rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
1,2026-05-06,6182.TWO,合晶,theme,short_attack,50.6,4.33,26.5,16.99,64.83,149673748,42341129,3.53,39.77,36.2,33.91,0.0,27.23,15,11,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,11,疑似炒作風險高,急拉爆量型,短線急漲、5日過熱、波段急漲,"短線急漲,5日過熱,波段急漲,20日飆漲,爆量,量能失衡,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",4,4,3,1,7.04,劇烈,C,0,0,0,FLAT
2,2026-05-06,5386.TWO,青雲,theme,short_attack,475.0,8.57,24.18,29.96,56.51,5577088,2699101,2.07,367.8,283.47,180.49,0.0,29.15,15,10,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,11,疑似炒作風險高,急拉爆量型,單日急拉、短線急漲、5日過熱,"單日急拉,短線急漲,5日過熱,波段急漲,20日飆漲,爆量,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",5,3,3,1,7.33,劇烈,C,1,0,0,UP
3,2026-05-06,2465.TW,麗臺,theme,short_attack,85.1,-4.92,22.45,25.89,56.72,7821958,3106398,2.52,67.94,58.77,58.61,-4.92,25.26,15,11,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,10,疑似炒作風險高,急拉爆量型,短線急漲、5日過熱、波段急漲,"短線急漲,5日過熱,波段急漲,20日飆漲,爆量,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",4,3,3,1,6.25,活潑,C,-1,0,1,DOWN
4,2026-05-06,2388.TW,威盛,theme,short_attack,80.0,0.13,7.96,9.89,60.97,31215927,19890005,1.57,68.94,56.71,54.94,-3.73,16.04,14,7,"SURGE,TREND",高風險追價區,有點過熱，別硬追,6,疑似炒作風險高,急拉爆量型,波段急漲、20日飆漲、波動劇烈,"波段急漲,20日飆漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔,追價風險高",2,2,2,1,7.81,劇烈,C,0,0,0,FLAT
5,2026-05-06,3014.TW,聯陽,satellite,midlong_core,132.5,1.15,7.29,6.85,14.22,1968287,1219976,1.61,123.67,120.21,119.5,0.0,7.14,14,1,TREND,進攻優勢區,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,2.45,標準,B,1,0,0,UP
6,2026-05-06,2356.TW,英業達,theme,short_attack,49.2,4.79,6.15,3.91,20.44,44433354,26348522,1.69,45.95,44.16,43.94,-3.91,7.06,14,1,TREND,進攻優勢區,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,3.41,標準,B,1,0,0,UP
7,2026-05-06,2382.TW,廣達,theme,short_attack,346.5,7.94,7.94,1.91,19.9,43497194,24130514,1.8,322.48,297.73,289.09,0.0,7.45,13,2,TREND,進攻優勢區,中段延續中,1,正常,正常,單日急拉、爆量、高檔無回檔,"單日急拉,爆量,高檔無回檔",1,1,1,0,3.41,標準,B,-2,-1,1,DOWN
8,2026-05-06,2399.TW,映泰,theme,short_attack,44.8,3.94,7.18,6.79,29.86,39418064,25523699,1.54,39.26,30.75,27.53,0.0,14.11,13,2,TREND,進攻優勢區,中段延續中,3,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1,2,2,0,7.39,劇烈,B,14,2,0,UP
9,2026-05-06,3034.TW,聯詠,satellite,quality_value,441.5,5.12,7.03,6.26,14.82,8430818,4202708,2.01,411.02,390.52,387.56,0.0,7.41,13,2,TREND,進攻優勢區,中段延續中,0,正常,正常,爆量、高檔無回檔,"爆量,高檔無回檔",0,1,1,0,3.05,標準,B,0,0,1,FLAT
10,2026-05-06,4995.TWO,晶達,satellite,quality_value,45.0,2.62,6.89,2.51,10.84,110000,48820,2.25,42.43,41.39,41.4,0.0,6.06,13,2,TREND,進攻優勢區,中段延續中,0,正常,正常,爆量、高檔無回檔,"爆量,高檔無回檔",0,1,1,0,2.34,標準,B,-2,0,0,DOWN
