ticker,name,industry_category,type,pe,pbr,dividend_yield,revenue_yoy_pct,eps_ttm,eps_yoy_pct,roe_pct,gross_margin_pct,operating_margin_pct,debt_to_equity_pct,current_ratio,operating_cashflow_ttm,free_cashflow_ttm,quality_score,value_score,fundamental_action,fundamental_reason,fundamental_data_status,similar_score,scout_reason,radar_priority,radar_sort,radar_reason
4953.TWO,緯軟,資訊服務業,tpex,13.34,2.07,4.05,31.107309080264976,2.32,,15.93790107983394,14.234281467516121,5.720815584871043,53.361566530793525,2.6554326120950025,,,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,17.8,資訊服務業；Q/V=4/4；PE=13.34；殖利率=4.05%,A加入觀察,3,品質分數高、估值分數高、營收YoY正、ROE>=12%、PE<=18、負債可控
4995.TWO,晶達,光電業,tpex,16.48,2.1,4.44,22.746081974273036,1.01,,18.77670699830348,33.133135173060296,12.744073387230598,95.4345435750671,1.5512731538047995,,,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,17.72,光電業；Q/V=4/4；PE=16.48；殖利率=4.44%,A加入觀察,3,品質分數高、估值分數高、營收YoY正、ROE>=12%、PE<=18、負債可控
5288.TW,豐祥-KY,電機機械,twse,14.05,1.93,3.8,23.064942030779388,3.59,,16.3005473341533,23.238506939137903,14.464748791321286,33.266057150449235,2.368604482283711,,,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,17.35,電機機械；Q/V=4/4；PE=14.05；殖利率=3.80%,A加入觀察,3,品質分數高、估值分數高、營收YoY正、ROE>=12%、PE<=18、負債可控
3008.TW,大立光,光電業,twse,15.89,1.8,3.14,10.76632422783675,46.63,,13.124241601564954,49.40510788706104,37.39184547376529,21.3065263786351,4.0240069345553735,,,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,16.24,光電業；Q/V=4/4；PE=15.89；殖利率=3.14%,A加入觀察,3,品質分數高、估值分數高、營收YoY正、ROE>=12%、PE<=18、負債可控
6525.TW,捷敏-KY,半導體業,twse,16.89,3.02,4.88,11.929823767822247,1.62,,19.038484298901356,26.140731544687295,19.12139486393593,65.52991820783788,1.8344371587274377,,,4,3,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,16.01,半導體業；Q/V=4/3；PE=16.89；殖利率=4.88%,A加入觀察,3,品質分數高、估值合理、營收YoY正、ROE>=12%、PE<=18、負債可控
8261.TW,富鼎,半導體業,twse,21.32,2.42,4.02,10.864589486119314,1.57,,12.172935782064455,38.07482019175281,25.664116530842822,12.685725300197165,7.578973895850313,,,4,3,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,14.9,半導體業；Q/V=4/3；PE=21.32；殖利率=4.02%,A加入觀察,3,品質分數高、估值合理、營收YoY正、ROE>=12%、負債可控
2441.TW,超豐,半導體業,twse,20.13,2.12,3.19,14.262927668526189,1.4,,12.647295976674117,23.628816536872364,19.558422681617436,16.114126255896284,3.252024376896593,,,4,3,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,14.7,半導體業；Q/V=4/3；PE=20.13；殖利率=3.19%,A加入觀察,3,品質分數高、估值合理、營收YoY正、ROE>=12%、負債可控
4967.TW,十銓,半導體業,twse,7.4,3.46,3.46,120.49265370477112,27.0,,129.32439131060448,38.01304306582142,32.11852194508097,208.64251768031156,1.633001792551755,,,3,3,可研究但需確認,EPS TTM>0、營收YoY正、ROE>=12%、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,15.93,半導體業；Q/V=3/3；PE=7.40；殖利率=3.46%,B研究追蹤,2,估值合理、營收YoY正、ROE>=12%、PE<=18、負債偏高需確認
6776.TW,展碁國際,電子通路業,twse,15.21,1.88,5.22,23.93277599741157,1.14,,14.4196583874044,6.2607588054633165,2.0635698958453164,292.434850784629,1.0710600252419775,,,3,4,可研究但需確認,EPS TTM>0、營收YoY正、ROE>=12%、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,15.92,電子通路業；Q/V=3/4；PE=15.21；殖利率=5.22%,B研究追蹤,2,估值分數高、營收YoY正、ROE>=12%、PE<=18、負債偏高需確認
3168.TW,眾福科,光電業,twse,17.22,1.94,6.55,10.675964964951898,0.6,,7.690261833478979,22.821792424625716,6.785180415334728,58.63767015888968,1.9729747700830094,,,3,4,可研究但需確認,EPS TTM>0、營收YoY正、負債權益可控、官方公開財報、月營收YoY、PE/PBR/殖利率、FCF需FINMIND_TOKEN,official_public,15.53,光電業；Q/V=3/4；PE=17.22；殖利率=6.55%,B研究追蹤,2,估值分數高、營收YoY正、PE<=18、負債可控
